payment_month_year,merchant_id,total_order_count,order_count_w_delivery,order_count_w_rto,email,email_cc,name,rto_invoiced,reminder_sent,rto_amount,invoice_status,status,order_percentage
2023-05,4af5pL6Gz4AElE,18,16,0,kausshal@teabox.com,diwaker@teabox.com,Teabox,,2024-11-14,0.0,,Incorrect status,0.8889
2023-05,Bair42uufy4vvx,127,0,0,suraj@aegispersonalcare.com,,AEGIS PERSONAL CARE LLP,,2024-11-14,0.0,,Pending status,0.0
2023-05,CHRCWLxe4ER5GP,54,43,2,hello@livingwaters.co.in ,,Living Waters Creative Studio,,2024-11-14,200.0,,Pending status,0.7963
2023-05,CjaeQlPFXFvaLN,1027,1026,179,karishma@faebeauty.in,mayur@faebeauty.in ,FAE BEAUTY PRIVATE LIMITED,2023-10-29,2023-09-14,11559.1,Success,,0.999
2023-05,CyFgPUrwzJ5VhG,294,276,33,vidhi@oleumcottage.com,,Cocoburra Cosmeceuticals Private Ltd.,2023-10-29,,2640.0,Success,,0.9388
2023-05,DRA8pvry1C4oTC,1719,1710,156,abhishek@arborealstevia.com,accounts@arborealstevia.com,Arboreal Bioinnovations Pvt Ltd,2023-10-29,,19500.0,Success,,0.9948
2023-05,DUKiYoYvbaUXud,1646,0,0,folliculartechnologies@gmail.com,,follicular technologies private limited,,2024-11-14,0.0,,Pending status,0.0
2023-05,Dq1Jah4WlPL0qX,227,201,20,karan.jain@goodbrandsindia.com,,Good brands for a healthy life Pvt. Ltd.,2023-10-29,,1500.0,Success,,0.8855
2023-05,Dq7VZ3fMp7qQQ7,175,175,24,sugandhini@thehadenaturals.com,,The Hade,2023-10-29,,1237.6200000000001,Success,,1.0
2023-05,E2NWmnnFI68dlm,158,158,12,tasuvure@gmail.com,arnavsaraf1309@gmail.com,HI LIFE EXPORTS PRIVATE LIMITED,2024-02-01,2024-01-28,4200.0,Success,,1.0
2023-05,EFuW7roPMY4a1a,60,52,13,namhyafoods@gmail.com,,Namhya foods Private limited,2023-10-29,2023-09-14,975.0,Success,,0.8667
2023-05,EfPwexBImj5oxv,3,0,0,glacerceramic@gmail.com,,Glacer Ceramic,,2024-11-14,0.0,,Pending status,0.0
2023-05,Eh1Ax67DJ9mNdY,2,0,0,info@leaderbicycles.com,,Jindal Fine Industries,,2024-11-14,0.0,,Pending status,0.0
2023-05,EyqQxodBBBYpm6,1117,1082,237,fullyfilmy.in@gmail.com,anand@fullyfilmy.in,Plan Z Digital Private Limited,2023-10-29,,18960.0,Success,,0.9687
2023-05,FGmEEx9rbF5e8F,694,668,183,mail.ecentric@gmail.com,salendra@ecentric.in,Ecentric India Pvt Ltd,2023-10-19,,13725.0,Success,,0.9625
2023-05,FR2kZCaWIQTnDn,4170,3853,1008,ratnakar@guniaa.com ,niladri@guniaa.com,GUNIAA,2024-09-04,,91800.0,Success,Successful,0.924
2023-05,FiVc88jM7AeSta,347,261,34,punammetalcrafts@gmail.com,,Punam Metalcrafts,,2024-11-14,7467.74,,Pending status,0.7522
2023-05,G4WBGNh0UU0RUp,645,645,82,support@stylefeathers.com,,Style Feathers,2023-11-18,2023-11-14,4442.98,Success,,1.0
2023-05,G6XfSND0uWWQzn,10,0,0,ashwath@advaitindia.com,,Advait Fashion Management Pvt Ltd,,2024-11-14,0.0,,Pending status,0.0
2023-05,GU1l44CZy5ajTk,34,34,6,info@quickpharmacy.in,,BOXOFHEALTH INDIA PRIVATE LIMITED,2023-10-29,2023-09-14,480.0,Success,,1.0
2023-05,GX2Z0I7L07K19g,30,15,5,"info@notsosure.in
",,NOTSOSURE,,,1250.0,Success,,0.5
2023-05,GYxvSchZt2syEE,592,0,0,divakar.venkat@hh.global,,HEALTH AND HAPPINESS (H&H) TRADING INDIA PRIVATE LIMITED,,2024-11-14,0.0,,Pending status,0.0
2023-05,GaFX8ZqIdqtVd0,535,507,58,wearhousewolves@gmail.com,,Wearhouse wolves,2023-10-29,,4640.0,Success,,0.9477
2023-05,GlLXGUtKUrQHtj,541,274,260,darshan.chhajed@symphonylimited.com,rajeev.jha@symphonylimited.com,SYMPHONYLIMITED,,2024-11-14,91000.0,,Pending status,0.5065
2023-05,Glk1BQ6cvvA8DJ,685,659,116,jhashankgupta@gmail.com,,Lazo,2023-11-30,2023-11-28,9280.0,Success,,0.962
2023-05,GyK5nF2BXsxj37,252,101,0,ayush@dugaroverseas.com,,DUGAR OVERSEAS PRIVATE LIMITED,,2024-11-14,0.0,,Pending status,0.4008
2023-05,HDo52FrQhJj1iQ,551,305,88,vimal@awesomefab.in,,AWESOMEFAB SHOPPING PRIVATE LIMITED,,2024-11-14,7040.0,,Pending status,0.5535
2023-05,HJHvrI58d1PqIe,705,686,84,japjeet@fflirtygo.com,,Graffiti,2023-10-29,,6720.0,Success,,0.973
2023-05,HlwbxJbuVSfd60,130,111,6,kiayashopindia@gmail.com,,Kiaya Accessories (MSC Group),2023-10-29,,480.0,Success,,0.8538
2023-05,HpV1CS2H4GXtsC,704,443,87,help@decorbajar.com,,Decorbajar,,2024-11-14,8100.0,,Pending status,0.6293
2023-05,HqywhSmhfWBnE5,639,140,140,smitgada15@gmail.com,,ZIVIRA FASHION,,2024-11-14,14000.0,,Pending status,0.2191
2023-05,HwvQnDULtFSfih,119,0,0,nikita@truvitals.in,,NIARA HEALTHCARE PRIVATE LIMITED,,2024-11-14,0.0,,Pending status,0.0
2023-05,ICmqJzaoWUpyj6,109,104,39,chirag@mendeserve.com,,YOUNG ELEGANCE LIFE CARE,2023-10-29,2023-09-14,2220.0,Success,,0.9541
2023-05,ITMw84kujaCKhO,590,49,49,suryakant@meenabazaar.shop ,,Meena Bazaar ,,2024-11-14,12250.0,,Pending status,0.0831
2023-05,IoHIhwtDlPuhkJ,131,64,2,sixbyelevenstudio@gmail.com,,Divyesh Doshi HUF,,2024-11-14,160.0,,Pending status,0.4885
2023-05,IoIOst27rgeWOR,217,3,0,aesthesy.store@gmail.com,,Mango Media,,2024-11-14,0.0,,Pending status,0.0138
2023-05,J48RMdC1b73dYg,931,804,72,sarvodayamindia@gmail.com,,SARVODAYAM MEDICALS INDIA PRIVATE LIMITED,2023-11-11,2023-10-28,6400.0,Success,,0.8636
2023-05,JNrymGlbgxRl04,175,61,1,vidushi@isakfragrances.com,,ISAK AROMAS PRIVATE LIMITED,,2024-11-14,39.0,,Pending status,0.3486
2023-05,JWOhiDzI1AfUCS,29,29,4,info@sneakare.com,krishnav@sneakare.com,BUILDOUT RETAIL PRIVATE LIMITED,2023-07-08,2023-09-14,239.92000000000002,Success,,1.0
2023-05,Je6WBJUrSvp7Ut,60,47,6,akj@rasoishop.com,,RASOISHOP VENTURES PRIVATE LIMITED,,2024-11-14,750.0,,Pending status,0.7833
2023-05,JkuJOHbtFLHR1p,257,16,16,pgm@nutcaseshop.com,snp.billing@gmail.com,SNP ENTERPRISE,,2023-09-14,1600.0,Success,,0.0623
2023-05,JndcnDLnC64PHT,254,46,46,"ronak@shopmistry.com
",nupur@shopmistry.com,Mistry Accessories,,2024-11-14,6900.0,,Pending status,0.1811
2023-05,KIY9827AFygB6n,32,0,0,vatkistore@gmail.com,,shyam creation,,2024-11-14,0.0,,Pending status,0.0
2023-05,KV9N7Dk5Fe5OSm,8,0,0,petolyrazorpay@gmail.com,,OLYMPIA INDUSTRIES LIMITED,,2024-11-14,0.0,,Pending status,0.0
2023-05,KcOxexsd6DtRgb,23,20,9,natureplants07@gmail.com,,Nature Plants,2023-10-29,,540.0,Success,,0.8696
2023-05,KjPAo41feOMl8g,1,0,0,shriyash@ecommasters.in,,EVERYTHING BEAUTIFUL RETAIL PRIVATE LIMITED,,2024-11-14,0.0,,Pending status,0.0
2023-05,Kn942MGXKqNPT8,303,250,58,thomas@scentialsworld.com,,MAHESH BHUPATHI FRAGRANCES LLP,2023-10-29,,4640.0,Success,,0.8251
2023-06,4af5pL6Gz4AElE,12,11,0,kausshal@teabox.com,diwaker@teabox.com,Teabox,2023-07-20,2024-11-14,0.0,,Incorrect status,0.9167
2023-06,BqXXZlzZJLWsIV,257,0,0,jankee@fancypantsthestore.com,,Fancy Pants Apparels LLP,,2024-11-14,0.0,,Pending status,0.0
2023-06,CHRCWLxe4ER5GP,44,32,0,hello@livingwaters.co.in ,,Living Waters Creative Studio,,2024-11-14,0.0,,Pending status,0.7273
2023-06,ChdCdGm7TvuVk6,5,0,0,dharini.bajaj@imaginemarketingindia.com,,IMAGINE MARKETING LIMITED,,2024-11-14,0.0,,Pending status,0.0
2023-06,CjaeQlPFXFvaLN,546,543,69,karishma@faebeauty.in,mayur@faebeauty.in ,FAE BEAUTY PRIVATE LIMITED,2023-10-29,2023-09-14,4070.9799999999996,Success,,0.9945
2023-06,CtHTcKWCa4ZDeF,92,84,22,shwetashivkumar@ymail.com,,whysoblue,2023-10-29,,4400.0,Success,,0.913
2023-06,CyFgPUrwzJ5VhG,496,484,65,vidhi@oleumcottage.com,,Cocoburra Cosmeceuticals Private Ltd.,2024-08-18,2024-08-14,5200.0,Success,Successful,0.9758
2023-06,DRA8pvry1C4oTC,1955,1954,177,abhishek@arborealstevia.com,accounts@arborealstevia.com,Arboreal Bioinnovations Pvt Ltd,2023-10-29,,22125.0,Success,,0.9995
2023-06,DUKiYoYvbaUXud,2121,1,0,folliculartechnologies@gmail.com,,follicular technologies private limited,,2024-11-14,0.0,,Pending status,0.0005
2023-06,DkYdOAXPbbqFwT,743,742,105,ankit.mondal@rekhta.org,avisar.diwaker@rekhta.org,Rekhta Foundation,2023-10-19,,6300.0,Success,,0.9987
2023-06,Dq1Jah4WlPL0qX,254,162,0,karan.jain@goodbrandsindia.com,,Good brands for a healthy life Pvt. Ltd.,,2024-11-14,0.0,,Pending status,0.6378
2023-06,E2NWmnnFI68dlm,81,81,15,tasuvure@gmail.com,arnavsaraf1309@gmail.com,HI LIFE EXPORTS PRIVATE LIMITED,2024-02-01,2024-01-28,5250.0,Success,,1.0
2023-06,EJu3xUe1qpgeB8,133,133,21,gauravkhurana1987@gmail.com,,Aganya Kreations,2023-10-29,,2625.0,Success,,1.0
2023-06,ENiPCFOS3inLT5,51,51,5,neerajchawla@yahoo.com,,Odara Jewellery,2023-10-29,,625.0,Success,,1.0
2023-06,EfPwexBImj5oxv,225,3,0,glacerceramic@gmail.com,,Glacer Ceramic,,2024-11-14,0.0,,Pending status,0.0133
2023-06,EyqQxodBBBYpm6,2301,2212,760,fullyfilmy.in@gmail.com,anand@fullyfilmy.in,Plan Z Digital Private Limited,2024-08-04,2024-07-28,60800.0,Success,Successful,0.9613
2023-06,F2L5s2oVIM77WV,1055,0,0,avartan@taramislabs.com,,Taramis Labs Private Limited ,,2024-11-14,0.0,,Pending status,0.0
2023-06,FGmEEx9rbF5e8F,553,541,133,mail.ecentric@gmail.com,salendra@ecentric.in,Ecentric India Pvt Ltd,2023-10-19,,9975.0,Success,,0.9783
2023-06,FR2kZCaWIQTnDn,5144,4725,1560,ratnakar@guniaa.com ,niladri@guniaa.com,GUNIAA,2024-09-04,,145920.0,Success,Successful,0.9185
2023-06,FiVc88jM7AeSta,54,34,5,punammetalcrafts@gmail.com,,Punam Metalcrafts,,2024-11-14,1250.0,,Pending status,0.6296
2023-06,FjdlljXBLPV7rF,851,851,86,sunmoonorganics@gmail.com,,Sunmoon Organics,2023-10-29,,3650.0,Success,,1.0
2023-06,G4WBGNh0UU0RUp,734,734,47,support@stylefeathers.com,,Style Feathers,2023-11-18,2023-11-14,2750.2800000000007,Success,,1.0
2023-06,G6XfSND0uWWQzn,11,0,0,ashwath@advaitindia.com,,Advait Fashion Management Pvt Ltd,,2024-11-14,0.0,,Pending status,0.0
2023-06,GU1l44CZy5ajTk,2,2,1,info@quickpharmacy.in,,BOXOFHEALTH INDIA PRIVATE LIMITED,2023-10-29,2023-09-14,80.0,Success,,1.0
2023-06,GX2Z0I7L07K19g,18,6,2,"info@notsosure.in
",,NOTSOSURE,,,500.0,Success,,0.3333
2023-06,GYxvSchZt2syEE,561,0,0,divakar.venkat@hh.global,,HEALTH AND HAPPINESS (H&H) TRADING INDIA PRIVATE LIMITED,,2024-11-14,0.0,,Pending status,0.0
2023-06,GaFX8ZqIdqtVd0,690,275,0,wearhousewolves@gmail.com,,Wearhouse wolves,,2024-11-14,0.0,,Pending status,0.3986
2023-06,Glk1BQ6cvvA8DJ,622,576,109,jhashankgupta@gmail.com,,Lazo,2023-11-30,2023-11-28,8720.0,Success,,0.926
2023-06,GyK5nF2BXsxj37,252,23,0,ayush@dugaroverseas.com,,DUGAR OVERSEAS PRIVATE LIMITED,,2024-11-14,0.0,,Pending status,0.0913
2023-06,HDo52FrQhJj1iQ,1402,735,0,vimal@awesomefab.in,,AWESOMEFAB SHOPPING PRIVATE LIMITED,,2024-11-14,0.0,,Pending status,0.5243
2023-06,HJHvrI58d1PqIe,377,357,50,japjeet@fflirtygo.com,,Graffiti,2023-10-29,,4000.0,Success,,0.9469
2023-06,HlwbxJbuVSfd60,130,88,12,kiayashopindia@gmail.com,,Kiaya Accessories (MSC Group),,2024-11-14,960.0,,Pending status,0.6769
2023-06,HpV1CS2H4GXtsC,594,359,53,help@decorbajar.com,,Decorbajar,,2024-11-14,4300.0,,Pending status,0.6044
2023-06,HqywhSmhfWBnE5,1010,137,137,smitgada15@gmail.com,,ZIVIRA FASHION,,2024-11-14,13700.0,,Pending status,0.1356
2023-06,HwvQnDULtFSfih,202,0,0,nikita@truvitals.in,,NIARA HEALTHCARE PRIVATE LIMITED,,2024-11-14,0.0,,Pending status,0.0
2023-06,ICmqJzaoWUpyj6,84,80,20,chirag@mendeserve.com,,YOUNG ELEGANCE LIFE CARE,2023-10-29,2023-09-14,600.0,Success,,0.9524
2023-06,ITMw84kujaCKhO,459,57,57,suryakant@meenabazaar.shop ,,Meena Bazaar ,,2024-11-14,14250.0,,Pending status,0.1242
2023-06,IoHIhwtDlPuhkJ,54,25,0,sixbyelevenstudio@gmail.com,,Divyesh Doshi HUF,,2024-11-14,0.0,,Pending status,0.463
2023-06,IoIOst27rgeWOR,17,1,1,aesthesy.store@gmail.com,,Mango Media,,2024-11-14,125.0,,Pending status,0.0588
2023-06,J48RMdC1b73dYg,790,563,62,sarvodayamindia@gmail.com,,SARVODAYAM MEDICALS INDIA PRIVATE LIMITED,,2024-11-14,5100.0,,Pending status,0.7127
2023-06,JNrymGlbgxRl04,181,173,8,vidushi@isakfragrances.com,,ISAK AROMAS PRIVATE LIMITED,2023-10-29,2023-09-14,371.6,Success,,0.9558
2023-06,JWOhiDzI1AfUCS,98,98,10,info@sneakare.com,krishnav@sneakare.com,BUILDOUT RETAIL PRIVATE LIMITED,2023-07-20,2023-09-14,496.01,Success,,1.0
2023-06,Je6WBJUrSvp7Ut,47,45,6,akj@rasoishop.com,,RASOISHOP VENTURES PRIVATE LIMITED,2023-10-29,2023-09-14,750.0,Success,,0.9574
2023-06,JkuJOHbtFLHR1p,428,32,32,pgm@nutcaseshop.com,snp.billing@gmail.com,SNP ENTERPRISE,,2023-09-14,3200.0,Success,,0.0748
2023-06,JndcnDLnC64PHT,185,11,11,"ronak@shopmistry.com
",nupur@shopmistry.com,Mistry Accessories,,2024-11-14,1650.0,,Pending status,0.0595
2023-06,KV9N7Dk5Fe5OSm,126,0,0,petolyrazorpay@gmail.com,,OLYMPIA INDUSTRIES LIMITED,,2024-11-14,0.0,,Pending status,0.0
2023-06,KcOxexsd6DtRgb,12,4,1,natureplants07@gmail.com,,Nature Plants,,2024-11-14,60.0,,Pending status,0.3333
2023-06,KjPAo41feOMl8g,3,0,0,shriyash@ecommasters.in,,EVERYTHING BEAUTIFUL RETAIL PRIVATE LIMITED,,2024-11-14,0.0,,Pending status,0.0
2023-06,Kn942MGXKqNPT8,111,82,17,thomas@scentialsworld.com,,MAHESH BHUPATHI FRAGRANCES LLP,,2024-11-14,1360.0,,Pending status,0.7387
2023-07,4af5pL6Gz4AElE,2,0,0,kausshal@teabox.com,diwaker@teabox.com,Teabox,,2024-11-14,0.0,,Pending status,0.0
2023-07,BqXXZlzZJLWsIV,198,0,0,jankee@fancypantsthestore.com,,Fancy Pants Apparels LLP,,2024-11-14,0.0,,Pending status,0.0
2023-07,CHRCWLxe4ER5GP,47,37,0,hello@livingwaters.co.in ,,Living Waters Creative Studio,,2024-11-14,0.0,,Pending status,0.7872
2023-07,ChdCdGm7TvuVk6,9,0,0,dharini.bajaj@imaginemarketingindia.com,,IMAGINE MARKETING LIMITED,,2024-11-14,0.0,,Pending status,0.0
2023-07,CjaeQlPFXFvaLN,813,812,111,karishma@faebeauty.in,mayur@faebeauty.in ,FAE BEAUTY PRIVATE LIMITED,2023-10-29,2023-09-14,6487.4,Success,,0.9988
2023-07,CtHTcKWCa4ZDeF,203,174,41,shwetashivkumar@ymail.com,,whysoblue,2023-10-29,,8200.0,Success,,0.8571
2023-07,CyFgPUrwzJ5VhG,435,421,54,vidhi@oleumcottage.com,,Cocoburra Cosmeceuticals Private Ltd.,2024-05-31,2024-05-14,4320.0,Success,Successful,0.9678
2023-07,DRA8pvry1C4oTC,2036,2026,183,abhishek@arborealstevia.com,accounts@arborealstevia.com,Arboreal Bioinnovations Pvt Ltd,2023-10-29,,22875.0,Success,,0.9951
2023-07,DUKiYoYvbaUXud,3166,21,0,folliculartechnologies@gmail.com,,follicular technologies private limited,,2024-11-14,0.0,,Pending status,0.0066
2023-07,DkYdOAXPbbqFwT,757,752,118,ankit.mondal@rekhta.org,avisar.diwaker@rekhta.org,Rekhta Foundation,2023-10-19,,7080.0,Success,,0.9934
2023-07,Dq1Jah4WlPL0qX,8,1,0,karan.jain@goodbrandsindia.com,,Good brands for a healthy life Pvt. Ltd.,,2024-11-14,0.0,,Pending status,0.125
2023-07,EJu3xUe1qpgeB8,175,173,31,gauravkhurana1987@gmail.com,,Aganya Kreations,2023-10-29,,3875.0,Success,,0.9886
2023-07,EfPwexBImj5oxv,247,128,19,glacerceramic@gmail.com,,Glacer Ceramic,,2024-11-14,9500.0,,Pending status,0.5182
2023-07,EyqQxodBBBYpm6,1437,1390,323,fullyfilmy.in@gmail.com,anand@fullyfilmy.in,Plan Z Digital Private Limited,2024-08-11,2024-07-28,25840.0,Success,Successful,0.9673
2023-07,FGmEEx9rbF5e8F,294,287,67,mail.ecentric@gmail.com,salendra@ecentric.in,Ecentric India Pvt Ltd,,,5025.0,Success,,0.9762
2023-07,FR2kZCaWIQTnDn,6246,5534,1676,ratnakar@guniaa.com ,niladri@guniaa.com,GUNIAA,2024-09-04,,161640.0,Success,Successful,0.886
2023-07,FiVc88jM7AeSta,71,18,2,punammetalcrafts@gmail.com,,Punam Metalcrafts,,2024-11-14,500.0,,Pending status,0.2535
2023-07,FjdlljXBLPV7rF,2555,2555,359,sunmoonorganics@gmail.com,,Sunmoon Organics,2023-10-29,,7700.0,Success,,1.0
2023-07,G4WBGNh0UU0RUp,1244,1244,218,support@stylefeathers.com,,Style Feathers,2023-11-18,2023-11-14,12158.599999999999,Success,,1.0
2023-07,G6XfSND0uWWQzn,19,0,0,ashwath@advaitindia.com,,Advait Fashion Management Pvt Ltd,,2024-11-14,0.0,,Pending status,0.0
2023-07,GX2Z0I7L07K19g,14,3,3,"info@notsosure.in
",,NOTSOSURE,,,750.0,Success,,0.2143
2023-07,GYxvSchZt2syEE,778,0,0,divakar.venkat@hh.global,,HEALTH AND HAPPINESS (H&H) TRADING INDIA PRIVATE LIMITED,,2024-11-14,0.0,,Pending status,0.0
2023-07,GaFX8ZqIdqtVd0,614,480,0,wearhousewolves@gmail.com,,Wearhouse wolves,,2024-11-14,0.0,,Pending status,0.7818
2023-07,Glk1BQ6cvvA8DJ,570,525,118,jhashankgupta@gmail.com,,Lazo,2023-11-30,2023-11-28,9440.0,Success,,0.9211
2023-07,HDo52FrQhJj1iQ,1563,1281,0,vimal@awesomefab.in,,AWESOMEFAB SHOPPING PRIVATE LIMITED,,2024-11-14,0.0,,Incorrect status,0.8196
2023-07,HJHvrI58d1PqIe,468,459,69,japjeet@fflirtygo.com,,Graffiti,2023-10-29,,5520.0,Success,,0.9808
2023-07,HakfWT9UoxpRxO,227,107,49,organikobl@gmail.com,,BEAUTILISHIYA PRODUCTS PRIVATE LIMITED,,,780.0,Success,,0.4714
2023-07,HpV1CS2H4GXtsC,314,193,27,help@decorbajar.com,,Decorbajar,,2024-11-14,1300.0,,Pending status,0.6146
